date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:44:05	5908/5908	---MCZ	200	added ('OK')	application/javascript	etag:W/%22630e4200-1714%22	https://raspisanie.medcoll.ru/bitrix/js/main/lazyload/dist/lazyload.bundle.js	D:/DeliveryOptimization/Cache/My_Archive_Site/raspisanie.medcoll.ru/bitrix/js/main/lazyload/dist/lazyload.bundle.js	(from https://raspisanie.medcoll.ru/)
18:44:05	175244/175244	---MCZ	200	added ('OK')	application/javascript	etag:W/%22675921d8-2ac8c%22	https://raspisanie.medcoll.ru/bitrix/cache/js/s1/bootstrap_v4/kernel_main/kernel_main_v1.js?1733894616175244	D:/DeliveryOptimization/Cache/My_Archive_Site/raspisanie.medcoll.ru/bitrix/cache/js/s1/bootstrap_v4/kernel_main/kernel_main_v15ce4.js	(from https://raspisanie.medcoll.ru/)
18:44:05	86873/86873	---MCZ	200	added ('OK')	application/javascript	etag:W/%22630e4200-15359%22	https://raspisanie.medcoll.ru/bitrix/js/main/jquery/jquery-3.3.1.min.min.js?166187878486873	D:/DeliveryOptimization/Cache/My_Archive_Site/raspisanie.medcoll.ru/bitrix/js/main/jquery/jquery-3.3.1.min.min0b2e.js	(from https://raspisanie.medcoll.ru/)
18:44:05	63467/63467	---MCZ	200	added ('OK')	application/javascript	etag:W/%226006f821-f7eb%22	https://raspisanie.medcoll.ru/bitrix/js/ui/bootstrap46/js/bootstrap.min.js?161106947363467	D:/DeliveryOptimization/Cache/My_Archive_Site/raspisanie.medcoll.ru/bitrix/js/ui/bootstrap46/js/bootstrap.min8f3f.js	(from https://raspisanie.medcoll.ru/)
18:44:06	34530/34530	---MCZ	200	added ('OK')	application/javascript	etag:W/%22630e4200-86e2%22	https://raspisanie.medcoll.ru/bitrix/js/main/date/main.date.js	D:/DeliveryOptimization/Cache/My_Archive_Site/raspisanie.medcoll.ru/bitrix/js/main/date/main.date.js	(from https://raspisanie.medcoll.ru/)
18:44:06	36080/36080	---MCZ	200	added ('OK')	application/javascript	etag:W/%22630e4200-8cf0%22	https://raspisanie.medcoll.ru/bitrix/js/main/core/core_date.js	D:/DeliveryOptimization/Cache/My_Archive_Site/raspisanie.medcoll.ru/bitrix/js/main/core/core_date.js	(from https://raspisanie.medcoll.ru/)
18:44:06	3701/3701	---MCZ	200	added ('OK')	application/javascript	etag:W/%22630e4200-e75%22	https://raspisanie.medcoll.ru/bitrix/js/main/session.js	D:/DeliveryOptimization/Cache/My_Archive_Site/raspisanie.medcoll.ru/bitrix/js/main/session.js	(from https://raspisanie.medcoll.ru/)
18:44:06	864/864	---MCZ	200	added ('OK')	application/javascript	etag:W/%22630e4200-360%22	https://raspisanie.medcoll.ru/bitrix/js/main/pageobject/pageobject.js	D:/DeliveryOptimization/Cache/My_Archive_Site/raspisanie.medcoll.ru/bitrix/js/main/pageobject/pageobject.js	(from https://raspisanie.medcoll.ru/)
18:44:07	98768/98768	---MCZ	200	added ('OK')	application/javascript	etag:W/%22630e4201-181d0%22	https://raspisanie.medcoll.ru/bitrix/js/main/core/core_window.js	D:/DeliveryOptimization/Cache/My_Archive_Site/raspisanie.medcoll.ru/bitrix/js/main/core/core_window.js	(from https://raspisanie.medcoll.ru/)
18:44:07	37414/37414	---MCZ	200	added ('OK')	text/css	etag:W/%22630e4211-9226%22	https://raspisanie.medcoll.ru/bitrix/js/ui/fontawesome4/css/font-awesome.css	D:/DeliveryOptimization/Cache/My_Archive_Site/raspisanie.medcoll.ru/bitrix/js/ui/fontawesome4/css/font-awesome.css	(from https://raspisanie.medcoll.ru/)
